ASIN	Status
B01AMGLM8U	Good	
B01AMGLT74	Good	
B01AMGMDQ0	Good	
B01AMGMFNQ	Good	
B01AMGMH1Q	Good	
B01AMGMIKG	Good	
B01AMGMNEW	Good	
B01AMGMQLM	Good	
B01AMGN89G	Good	
B01AMGNIUU	Good	
B01AMGNKWG	Good	
B01AMGNMVK	Good	
B01AMGNMXI	Good	
B01AMGNP6C	Good	
B01AMGO0NY	Good	
B01AMGO2Q4	Good	
B01AMGO4GW	Good	
B01AMGO4SK	Good	
B01AMGOGNS	Good	
B01AMGOIUE	Good	
B01AMGOJQC	Good	
B01AMGOLP6	Good	
B01AMGONA4	Good	
B01AMGOPGQ	Good	
B01AMGOXRM	Good	
B01AMGOZ7U	Good	
B01AMGP5T2	Good	
B01AMGP7KY	Good	
B01AMGPAE2	Good	
B01AMGPCH2	Good	
B01AMGPDBC	Good	
B01AMGPETI	Good	
B01AMGPGBO	Good	
B01AMGPS1C	Good	
B01AMGPTT8	Good	
B01AMGPW90	Good	
B01AMGPZBU	Good	
B01AMGQ3IE	Good	
B01AMGQ51Y	Good	
B01AMGQ6Q8	Good	
B01AMGQ83O	Good	
B01AMGQ9RO	Good	
B01AMGQBC2	Good	
B01AMLSG5M	Good	
B01AMLSGW0	Good	
B01AMLSHPQ	Good	
B01AMLSIUU	Good	
B01AMLT6R4	Good	
B01AMLTE5I	Good	
B01AMLTGHO	Good	
B01AMLTJ4E	Good	
B01B3E1MKI	Good	
B01B3E1MKS	Good	
B01B3E1MMG	Good	
B01B3E1MMQ	Good	
B01B3E1MN0	Good	
B01B3E1N98	Good	
B01B3EFE5W	Good	
B01B3EFE84	Good	
B01B3EFE9S	Good	
B01B3EFEHA	Good	
B01B3EFESE	Good	
B01B3EV0XM	Good	
B01B3EV0Y6	Good	
B01B3EV0YG	Good	
B01B3EV14A	Good	
B01B3EV154	Good	
B01BCLOZX8	Good	
B01BCLOZXI	Good	
B01BCLOZYM	Good	
B01BLYJX4C	Good	
B01BLYL9SK	Good	
B01BLYMAT2	Good	
B01BLYN3CA	Good	
B01BMSXVGS	Good	
B01BMT10TC	Good	
B01BMT40VC	Good	
B01BMT5EX0	Good	
B01BMTAU3E	Good	
B01BMTDQDA	Good	
B01BMTH8U2	Good	
B01BMTPHPU	Good	
B01CKRIYXU	Good	
B01CKRIZQQ	Good	
B01CKRJ0MO	Good	
B01CKRJ1UA	Good	
B01CKRJ2U4	Good	
B01CKRJ3QC	Good	
B01CKRJ4SY	Good	
B01CKRJ5QU	Good	
B01CKRJ6K0	Good	
B01CKRJ7JU	Good	
B01CKRJ8JO	Good	
B01CKRJ9FM	Good	
B01CKRJCTK	Good	
B01CKRJDT4	Good	
B01CKRJENE	Good	
B01CKRJGL4	Good	
B01CKRJHKO	Good	
B01ENU85T0	Good	
B01GGOK8UA	Good	
B01GGOK9BI	Good	
B01GGOKA3U	Good	
B01GGOKAOY	Good	
B01GGOKBFC	Good	
B01GGOKCBK	Good	
B01GGOKCU6	Good	
B01GGOKDKK	Good	
B01GGOKE8G	Good	
B01GGOKET0	Good	
B01GGOKFWQ	Good	
B01GGOKGI4	Good	
B01GGOKH5Q	Good	
B01GGOKHWE	Good	
B01GGOKIU0	Good	
B01GGOKKS0	Velcro found!	
B01GGOKM9W	Good	
B01GGOKMGK	Velcro found!	
B01GGOKN1Y	Good	
B01GGOKNUU	Good	
B01GGOKO0Y	Good	
B01GGOKP26	Good	
B01GGOKU4Y	Good	
B01GGOKUT4	Good	
B01GGOKVM0	Good	
B01GGOKW9C	Good	
B01GGOKXS2	Good	
B01GGOKYBS	Good	
B01GGOKZKS	Good	
B01GGOL07U	Good	
B01GGOL0T8	Good	
B01GGOL4V2	Good	
B01GGOL5AC	Good	
B01GGOL6HE	Good	
B01GGOL77S	Good	
B01GGOL7TQ	Good	
B01GGOL8FE	Good	
B01GGOL93U	Good	
B01GGOL9PI	Good	
B01GGOLAGQ	Good	
B01GGOLB4W	Good	
B01GGOLBRO	Good	
B01GGOLD1S	Good	
B01GGOLDOK	Good	
B01GGOLI18	Good	
B01GGOLJRQ	Good	
B01GGOLMU0	Good	
B01GGOLOLC	Good	
B01GGOLT7G	Good	
B01GGOLUQ6	Good	
B01GGOLXHW	Good	
B01GGOM0RY	Good	
B01GGOM1Y6	Good	
B01GGOM330	Good	
B01IMRD3KG	Good	
B01IMRJBDO	Good	
B01IMRPDF4	Good	
B01IMS508S	Good	
B01IWMGLEQ	Good	
B01IWMGLG4	Good	
B01IWMGLHI	Good	
B01IWMGLKA	Good	
B01IWMGLKK	Good	
B01IWMOTQ8	Good	
B01IWMOTQS	Good	
B01IWMOTR2	Good	
B01IWMOTSG	Good	
B01IWMOTUE	Good	
B01J46I552	Good	
B01J46I62O	Good	
B01J46I6J2	Good	
B01J46I6U6	Good	
B01J46I75U	Good	
B01J46I7SM	Good	
B01J46I9E4	Good	
B01J46I9QW	Good	
B01J46I9S0	Good	
B01J46IAO8	Good	
B01J90KKZQ	Good	
B01J90KL1O	Good	
B01J90KL3W	Good	
B01J90KL96	Good	
B01J90XLWA	Good	
B01J90XLX4	Good	
B01J90XLZW	Good	
B01J90XM06	Good	
B01J92L86E	Good	
B01J92L88W	Good	
B01J92L8BY	Good	
B01J92L8DW	Good	
B01J92RWB4	Good	
B01J92RWFA	Good	
B01J92RWIW	Good	
B01J948H7K	Good	
B01J94E5SU	Good	
B01J94T5SU	Good	
B01J94T5TE	Good	
B01J94T5UI	Good	
B01J94T5US	Good	
B01J95286K	Good	
B01J95287Y	Good	
B01J95289C	Good	
B01J9528J2	Good	
B01JARA5QW	Good	
B01JARA5RG	Good	
B01JARA5VW	Good	
B01JARA5XA	Good	
B01JARJQ5S	Good	
B01JARJQ6W	Good	
B01JARJQAS	Good	
B01JB2EF6C	Good	
B01JB2EF6W	Good	
B01JB2EF9O	Good	
B01JB3BXFM	Good	
B01JB3BXOI	Good	
B01JB3BXPW	Good	
B01JB3BYAG	Good	
B01JRA77I6	Good	
B01JRDEF38	Good	
B01K5KB8KK	Good	
B01K5KB8N2	Good	
B01K5KB8NW	Good	
B01K5KBA9O	Good	
B01K5KBAZ8	Good	
B01K5KBC3I	Good	
B01K5N0L28	Good	
B01K5N0L5A	Good	
B01K5N0L6Y	Good	
B01K5N0LFA	Good	
B01K5N0LL4	Good	
B01K5N0LRI	Good	
B01K5N0M72	Good	
B01K5N0MWC	Good	
B01K5N0N9E	Good	
B01K5N0NHG	Good	
B01K5N0NIK	Good	
B01K5N0OHU	Good	
B01K5N0OL6	Good	
B01K5N0OWK	Good	
B01K5N0OZ2	Good	
B01K5N0P60	Good	
B01K5N0P6U	Good	
B01K5N0PC4	Good	
B01KI1O11Y	Good	
B01KI1O13W	Good	
B01L0PQ7XW	Good	
B01L0PQ9IU	Good	
B01L0PQAS4	Good	
B01L0PQC28	Good	
B01L0PQD8G	Good	
B01L0PQDB8	Good	
